precipitation,temperature,humidity,snow_falling,snow_depth
0.5,-3.8,74,3,16
4,-3.4,74,3,19
6.5,-4.1,82,12,29
0,-0.2,64,0,26
4.5,0.2,79,5,22
1,-5,60,0,22
0,-3.4,54,0,19
0,-3.4,66,2,20
0,-3.2,63,0,19
6,-3.5,87,11,29
